District, District_latitude, District_longitue, Neigbourhood, Neigh_latitude, Neigh_longitude
Wijk 00 Bunnik,52.061678505243,5.185625340446,Bunnik,52.068069537291,5.2016277802885
Wijk 00 Bunnik,52.061678505243,5.185625340446,Vechten,52.064471030937,5.1723553025716
Wijk 00 Bunnik,52.061678505243,5.185625340446,Verspreide huizen in het noorden,52.071683757864,5.1713629119545
Wijk 00 Bunnik,52.061678505243,5.185625340446,Verspreide huizen in het zuiden,52.054541536591,5.1835411254588
Wijk 01 West,52.105072379525,5.0715957498873,Welgelegen | Den Hommel,52.082836968568,5.0898411657819
Wijk 01 West,52.105072379525,5.0715957498873,Oog in Al,52.087350044358,5.0873535934904
Wijk 01 West,52.105072379525,5.0715957498873,Halve Maan-Zuid,52.084693517982,5.0822290006501
Wijk 01 West,52.105072379525,5.0715957498873,Halve Maan-Noord,52.091872781759,5.0805421823794
Wijk 01 West,52.105072379525,5.0715957498873,Lombok-Oost,52.091684772408,5.1031396732716
Wijk 01 West,52.105072379525,5.0715957498873,Leidseweg en omgeving,52.087755852526,5.0991563507239
Wijk 01 West,52.105072379525,5.0715957498873,Lombok-West,52.090819254914,5.0964283945565
Wijk 01 West,52.105072379525,5.0715957498873,Laan van Nieuw-Guinea | Spinozaweg e.o.,52.092434502397,5.0882580413112
Wijk 01 West,52.105072379525,5.0715957498873,Nieuw Engeland | Th. a. Kempisplantsoen en omgeving,52.095499979663,5.0919077918664
Wijk 01 West,52.105072379525,5.0715957498873,Schepenbuurt | Cartesiusweg e.o.,52.101664637146,5.084924218604
Wijk 01 West,52.105072379525,5.0715957498873,Bedrijventerrein Lageweide,52.114497869147,5.0581418782758
Wijk 02 Noordwest,52.109732981858,5.0909741834569,Pijlsweerd-Zuid,52.097342177681,5.1092336062949
Wijk 02 Noordwest,52.109732981858,5.0909741834569,Pijlsweerd-Noord,52.101148987762,5.1079472578767
Wijk 02 Noordwest,52.109732981858,5.0909741834569,Nijenoord | Hoogstraat en omgeving,52.104906224928,5.1082163396993
Wijk 02 Noordwest,52.109732981858,5.0909741834569,Ondiep,52.10658779097,5.101376755868
Wijk 02 Noordwest,52.109732981858,5.0909741834569,2e Daalsebuurt en omgeving,52.099510490992,5.1003087760343
Wijk 02 Noordwest,52.109732981858,5.0909741834569,Egelantierstraat | Mariëndaalstraat e.o.,52.103554402745,5.0943358431662
Wijk 02 Noordwest,52.109732981858,5.0909741834569,Julianapark en omgeving,52.106739397086,5.0895309984233
Wijk 02 Noordwest,52.109732981858,5.0909741834569,Elinkwijk en omgeving,52.109967262522,5.0850483015742
Wijk 02 Noordwest,52.109732981858,5.0909741834569,Prins Bernhardplein en omgeving,52.113788290519,5.0797273683221
Wijk 02 Noordwest,52.109732981858,5.0909741834569,Geuzenwijk,52.110833716353,5.0963360784193
Wijk 02 Noordwest,52.109732981858,5.0909741834569,Schaakbuurt en omgeving,52.115066442211,5.0898072989205
Wijk 02 Noordwest,52.109732981858,5.0909741834569,Queeckhovenplein en omgeving,52.117700025099,5.0823097415662
Wijk 02 Noordwest,52.109732981858,5.0909741834569,Zuilen-Noord,52.121075631563,5.0707561417114
Wijk 03 Overvecht,52.120714755849,5.1092687549395,Taag- en Rubicondreef en omgeving,52.11105744512,5.1183693596395
Wijk 03 Overvecht,52.120714755849,5.1092687549395,Wolga- en Donaudreef en omgeving,52.114148818386,5.1298272730918
Wijk 03 Overvecht,52.120714755849,5.1092687549395,Zamenhofdreef en omgeving,52.1126710061,5.1101153612022
Wijk 03 Overvecht,52.120714755849,5.1092687549395,Neckardreef en omgeving,52.118078261516,5.12032547769
Wijk 03 Overvecht,52.120714755849,5.1092687549395,Vechtzoom-zuid,52.116512572545,5.1014839725793
Wijk 03 Overvecht,52.120714755849,5.1092687549395,Vechtzoom-noord | Klopvaart,52.122194242777,5.0937868358292
Wijk 03 Overvecht,52.120714755849,5.1092687549395,Bedrijventerrein en omgeving,52.126931349363,5.0857425515183
Wijk 03 Overvecht,52.120714755849,5.1092687549395,Zambesidreef en omgeving,52.120957907316,5.1103937377228
Wijk 03 Overvecht,52.120714755849,5.1092687549395,Tigrisdreef en omgeving,52.124375479119,5.1035599486382
Wijk 03 Overvecht,52.120714755849,5.1092687549395,Poldergebied Overvecht,52.122328877911,5.1267647070943
Wijk 04 Noordoost,52.103928594414,5.1363126206406,Vogelenbuurt,52.098712014323,5.1195902720534
Wijk 04 Noordoost,52.103928594414,5.1363126206406,Lauwerecht,52.102257113509,5.1136097603827
Wijk 04 Noordoost,52.103928594414,5.1363126206406,Staatsliedenbuurt,52.103608354833,5.1165021689323
Wijk 04 Noordoost,52.103928594414,5.1363126206406,Tuinwijk-West,52.10355551498,5.120479969319
Wijk 04 Noordoost,52.103928594414,5.1363126206406,Tuinwijk-Oost,52.101237499071,5.1255751609961
Wijk 04 Noordoost,52.103928594414,5.1363126206406,Tuindorp en Van Lieflandlaan-West,52.107647638047,5.1272889151257
Wijk 04 Noordoost,52.103928594414,5.1363126206406,Tuindorp-Oost,52.10744160251,5.1377077552526
Wijk 04 Noordoost,52.103928594414,5.1363126206406,Voordorp en Voorveldsepolder,52.105088893055,5.1494265978237
Wijk 04 Noordoost,52.103928594414,5.1363126206406,Huizingalaan | K. Doormanlaan en omgeving,52.10044180259,5.140149409296
Wijk 04 Noordoost,52.103928594414,5.1363126206406,Zeeheldenbuurt | Hengeveldstraat en omgeving,52.099699082398,5.136305603382
Wijk 04 Noordoost,52.103928594414,5.1363126206406,Wittevrouwen,52.097538844841,5.1323125540101
Wijk 05 Oost,52.08246758017,5.1558182570289,Buiten Wittevrouwen,52.092050580571,5.1319934112659
Wijk 05 Oost,52.08246758017,5.1558182570289,Oudwijk,52.088651865113,5.1358098491251
Wijk 05 Oost,52.08246758017,5.1558182570289,Abstede | Tolsteegsingel e.o.,52.083546442293,5.132298674256
Wijk 05 Oost,52.08246758017,5.1558182570289,Sterrenwijk,52.080786127813,5.129624601836
Wijk 05 Oost,52.08246758017,5.1558182570289,Rubenslaan en omgeving,52.080401133404,5.1366977662566
Wijk 05 Oost,52.08246758017,5.1558182570289,Watervogelbuurt,52.078070556815,5.128313573387
Wijk 05 Oost,52.08246758017,5.1558182570289,L. Napoleonplantsoen en omgeving,52.075947994348,5.1364357635359
Wijk 05 Oost,52.08246758017,5.1558182570289,Maarschalkerweerd en Mereveld,52.070113755322,5.1504056726894
Wijk 05 Oost,52.08246758017,5.1558182570289,Schildersbuurt,52.084235970125,5.1439612569091
Wijk 05 Oost,52.08246758017,5.1558182570289,Wilhelminapark en omgeving,52.090167649888,5.1420672386019
Wijk 05 Oost,52.08246758017,5.1558182570289,De Uithof,52.085300889739,5.1763851378424
Wijk 05 Oost,52.08246758017,5.1558182570289,Rijnsweerd,52.089917113537,5.1542563311953
Wijk 05 Oost,52.08246758017,5.1558182570289,Galgenwaard en omgeving,52.080791488237,5.1482997705451
Wijk 06 Binnenstad,52.088593338992,5.1163140418052,Domplein | Neude | Janskerkhof,52.092006913155,5.1215937900961
Wijk 06 Binnenstad,52.088593338992,5.1163140418052,Lange Elisabethstraat | Mariaplaats en omgeving,52.090240641615,5.1175756538052
Wijk 06 Binnenstad,52.088593338992,5.1163140418052,Hoog-Catharijne NS en Jaarbeurs,52.08751305638,5.1088940791752
Wijk 06 Binnenstad,52.088593338992,5.1163140418052,Wijk C,52.094778267311,5.1135407987269
Wijk 06 Binnenstad,52.088593338992,5.1163140418052,Breedstraat en Plompetorengracht en omgeving,52.095793783309,5.1212053548035
Wijk 06 Binnenstad,52.088593338992,5.1163140418052,Nobelstraat en omgeving,52.093414503403,5.1255072009437
Wijk 06 Binnenstad,52.088593338992,5.1163140418052,Springweg en omgeving Geertebuurt,52.085155154773,5.1206513542315
Wijk 06 Binnenstad,52.088593338992,5.1163140418052,Lange Nieuwstraat en omgeving,52.085159662481,5.1245816350185
Wijk 06 Binnenstad,52.088593338992,5.1163140418052,Nieuwegracht-Oost,52.088230450253,5.1270345618589
Wijk 06 Binnenstad,52.088593338992,5.1163140418052,Bleekstraat en omgeving,52.080083834151,5.1217652447134
Wijk 06 Binnenstad,52.088593338992,5.1163140418052,Hooch Boulandt,52.083897961776,5.1177763038749
Wijk 07 Zuid,52.063542297166,5.1306123874396,Lunetten-Noord,52.067449531587,5.1352956158685
Wijk 07 Zuid,52.063542297166,5.1306123874396,Lunetten-Zuid,52.058893000526,5.137032683484
Wijk 07 Zuid,52.063542297166,5.1306123874396,Tolsteeg en Rotsoord,52.074413430141,5.1249430809309
Wijk 07 Zuid,52.063542297166,5.1306123874396,Oud Hoograven-Noord,52.0699387871,5.1203648520487
Wijk 07 Zuid,52.063542297166,5.1306123874396,Oud Hoograven-Zuid,52.063651114677,5.1161664496119
Wijk 07 Zuid,52.063542297166,5.1306123874396,Bokkenbuurt,52.072449116604,5.1313475842436
Wijk 07 Zuid,52.063542297166,5.1306123874396,Nieuw Hoograven-Noord,52.067804547787,5.1246617921744
Wijk 07 Zuid,52.063542297166,5.1306123874396,Nieuw Hoograven-Zuid,52.060538506187,5.1195473464023
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Dichterswijk,52.080706004872,5.1114313048456
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Rivierenwijk,52.073098610607,5.1152169684215
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Bedrijvengebied Kanaleneiland,52.059682635996,5.105252928407
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Transwijk-Zuid,52.071790622251,5.1055226803302
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Transwijk-Noord,52.079505898032,5.0998134350452
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Kanaleneiland-Zuid,52.068494911891,5.0966528929067
Wijk 08 Zuidwest,52.071085068243,5.103246181215,Kanaleneiland-Noord,52.076190153248,5.0891472417935
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Bedrijventerrein De Wetering,52.109210896937,5.0479903807117
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Terwijde-West,52.10583805205,5.0374078362199
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Terwijde-Oost,52.102841654341,5.0501642907515
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Het Zand-West,52.096770338596,5.039038211876
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Het Zand-Oost,52.095739219674,5.0505023015673
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Leidsche Rijn-Centrum,52.097384361586,5.0670468462994
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Grauwaart,52.096011054785,5.0604415883816
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Hoge Weide,52.090351655272,5.0694565374848
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Leeuwesteyn,52.090152123083,5.0759811123299
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Parkwijk-Noord,52.091255852753,5.0537282663968
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Parkwijk-Zuid,52.088827737007,5.0603112166479
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Langerak,52.084825942487,5.0618628832169
Wijk 09 Leidsche Rijn,52.089502264878,5.0599552900064,Rijnvliet,52.077818656058,5.065353140291
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Haarrijn,52.119325833776,5.0175293617293
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Haarzuilens en omgeving,52.11976223149,4.9905932389223
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Vleuten,52.108811160706,5.0119927377621
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Máximapark,52.099321507044,5.0272036563385
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Vleuterweide-West,52.097521412095,5.0015449448163
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Vleuterweide-Noord/Oost/Centrum,52.097036537962,5.0115337923966
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Vleuterweide-Zuid,52.090146519635,5.0071467808931
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Veldhuizen,52.081037100294,5.0152085832258
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,De Meern-Noord,52.086858201478,5.0349232318672
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,De Meern-Zuid,52.072997836321,5.0216341081821
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Bedrijvengebied Oudenrijn,52.075513767379,5.0497590281418
Wijk 10 Vleuten-De Meern,52.086724496023,5.0228014561487,Rijnenburg,52.053935014341,5.0496208857086
